numero_estacion,direccion
001,RÍO SENA-RÍO BALSAS
002,RÍO GUADALQUIVIR - RÍO NAZAS
003,REFORMA - INSURGENTES
004,RÍO NILO - RÍO PANUCO
005,RÍO PÁNUCO RÍO TIBER
006,RÍO PÁNUCO - RÍO SENA
007,RÍO ELBA - RÍO LERMA
008,REFORMA - GENERAL PRIM
009,RÍO GUADALQUIVIR - RÍO LERMA
010,REFORMA - RAMÍREZ
011,RÍO AMAZONAS - RÍO LERMA
012,RÍO LERMA - VILLALONGÍN
013,REFORMA - RÍO MISSISSIPPI
014,REFORMA - RÍO DE PLATA
015,REFORMA - RÍO MISSISSIPPI
016,REFORMA - RÍO TIBER
017,REFORMA - RÍO TIBER
018,REFORMA - RÍO RHIN
019,REFORMA - RÍO RHIN
020,REFORMA- RÍO TÁMESIS
021,REFORMA - DUBLÍN
022,REFORMA - MANCHESTER
023,REFORMA - PRAGA
024,REFORMA- FLORENCIA
025,REFORMA - ESTOCOLMO
026,REFORMA - VERSALLES
027,REFORMA- HAVRE
028,TOLEDO- TOKIO
029,REFORMA - BUCARELI
030,HAMBURGO - AMBERES
031,HAMBURGO - INSURGENTES
032,LONDRES - SEVILLA
033,LONDRES - FLORENCIA
034,LIVERPOOL - GÉNOVA
035,LIVERPOOL - GÉNOVA
036,PUEBLA - VERACRUZ
037,GUADALAJARA - PUEBLA
038,COZUMEL - PUEBLA
039,PUEBLA - MEDELLÍN
040,OAXACA - PUEBLA
041,REFORMA - AV. DE LA REPÚBLICA
042,SINALOA - VALLADOLID
043,REVILLAGIGEDO - JUÁREZ
044,DURANGO - VERACRUZ
045,DURANGO - SONORA
046,DURANGO - SALAMANCA
047,PLAZA MADRID-MEDELLÍN
048,INDEPENDENCIA - AZUETA
049,MAZATLÁN - JUAN DE LA BARRERA
050,CUERNAVACA - VERACRUZ
051,COLIMA - OAXACA
052,HIDALGO - TRUJANO
053,FERNANDO MONTES DE OCA - TULA
054,PARQUE ESPAÑA - SONORA
055,5 DE MAYO - BOLÍVAR
056,ALVARO OBREGÓN - MEDELLIN
057,CUERNAVACA - JUAN ESCUTIA
058,PARQUE ESPAÑA - JUAN DE LA BARRERA
059,POPOCATÉPETL - ÁMSTERDAM
060,MAZATLÁN - FERNANDO MONTES DE OCA
061,AVENIDA MÉXICO - SONORA
062,FERNANDO MONTES DE OCA - AMATLAN
063,NUEVO LEÓN - LAREDO
064,SONORA - ÁMSTERDAM
065,MARCONI - TACUBA
066,MAZATLÁN - FRANCISCO MÁRQUEZ
067,VICENTE SUÁREZ - MICHOACÁN
068,TAMAULIPAS - MICHOACÁN
069,MICHOACÁN - ÁMSTERDAM
070,PARQUE MÉXICO - MICHOACÁN
071,AMSTERDAM - MICHOACAN
072,MAZATLÁN - ALFONSO REYES
073,CAMPECHE - TAMAULIPAS
074,NUEVO LEÓN - OZULAMA
075,ALFONSO REYES - ATLIXCO
076,CHILPANCINGO - CAMPECHE
077,CHOAPAN - TAMAULIPAS
078,BENJAMÍN HILL - TAMAULIPAS
079,SALTILLO - ALFONSO REYES
080,NUEVO LEÓN - AGUASCALIENTES
081,AGUASCALIENTES - INSURGENTES
082,INDEPENDENCIA - MARROQUÍ
083,ALFONSO REYES - NUEVO LEÓN
084,CHILPANCINGO - TLAXCALA
085,ROSAS MORENO - SULLIVAN
086,SULLIVAN-INSURGENTES
087,GANTE - VENUSTIANO CARRANZA
088,2A CERRADA DE 5 DE MAYO - PALMA
089,REPÚBLICA DE GUATEMALA - MONTE DE PIEDAD
090,JOSÉ MARÍA PINO SUÁREZ - CORREGIDORA
091,REPUBLICA DE CUBA-ALLENDE
092,SAN ILDEFONSO-REPÚBLICA DE ARGENTINA
093,PALMA NORTE-REPÚBLICA DE CUBA
094,LIC. VERDAD-MONEDA
095,20 DE NOVIEMBRE-VENUSTIANO CARRANZA
096,LÓPEZ-AYUNTAMIENTO
097,REPÚBLICA DE SALVADOR-PINO SUÁREZ
098,EMILIO DONDÉ-AV. BALDERAS
099,ERNESTO PUGIBET-LUIS MOYA
100,20 DE NOVIEMBRE-MESONES
102,ECHEVESTE-BOLIVAR
103,JOAQUÍN VELÁZQUEZ DE LEÓN - GARCÍA ICAZBALCETA
104,SAN JERÓNIMO-ISABEL LA CATÓLICA
105,SAN JERÓNIMO-5 DE FEBRERO
106,SAN JERÓNIMO-JOSÉ MARÍA PINO SUAREZ
107-108,TOLSA-BALDERAS
109,NEZAHUALCÓYOTL-ISABEL LA CATÓLICA
110,DR. VALENZUELA-DR. RÍO DE LA LOZA
111,GUILLERMO PRIETO - JOAQUÍN VELÁZQUEZ DE LEÓN
112,AV. MORELOS-ABRAHAM GONZÁLEZ
113,GENERAL PRIM-VERSALLES
114,LUCERNA-ABRAHAM GONZÁLEZ
115,ROMA-DINAMARCA
116,LONDRES-ROMA
117,LONDRES-NÁPOLES
118,LIVERPOOL-DINAMARCA
119,TURÍN-ABRAHAM GONZÁLEZ
120,MARSELLA-NÁPOLES
121,NIZA-CHAPULTEPEC
122,JOSÉ MARÍA VÉRTIZ-AV. DR. RÍO DE LA LOZA
123,CLAUDIO BERNARD-DR. LAVISTA
124,CLAUDIO BERNARD-DR. LICEAGA
125,MORELIA-CIRCULAR DE MORELIA
